*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
org.apache.sling.extensions.webconsolebranding (1.0.2) "Apache Sling Web Console Branding" [resolved, 41] (fragment)
org.apache.sling.extensions.webconsolesecurityprovider (1.2.0) "Apache Sling Web Console Security Provider" [active, 42] 
org.apache.sling.fsresource (2.1.14) "Apache Sling File System Resource Provider" [active, 134] 
org.apache.sling.hc.api (1.0.2) "Apache Sling Health Check API" [active, 135] 
org.apache.sling.hc.core (1.2.10) "Apache Sling Health Check Core" [active, 136] 
org.apache.sling.hc.webconsole (1.1.2) "Apache Sling Health Check Webconsole Plugin" [active, 137] 
org.apache.sling.i18n (2.5.14) "Apache Sling I18N Support" [active, 138] 
org.apache.sling.installer.console (1.0.2) "Apache Sling Installer WebConsole Plugin" [active, 139] 
org.apache.sling.installer.core (3.9.0) "Apache Sling Installer" [active, 20] 
org.apache.sling.installer.factory.configuration (1.2.0) "Apache Sling Installer Configuration Admin Support" [active, 19] 
org.apache.sling.installer.hc (2.0.0) "Apache Sling Installer Health Checks" [active, 140] 
org.apache.sling.installer.provider.file (1.1.0) "Apache Sling File Installer" [active, 6] 
org.apache.sling.installer.provider.jcr (3.1.26) "Apache Sling JCR Installer" [active, 141] 
org.apache.sling.javax.activation (0.1.0) "Apache Sling javax.activation bundle" [active, 5] 
org.apache.sling.jcr.api (2.4.0) "Apache Sling Repository API Bundle" [active, 78] 
org.apache.sling.jcr.base (3.0.4) "Apache Sling JCR Base Bundle" [active, 79] 
org.apache.sling.jcr.contentloader (2.2.6) "Apache Sling Initial Content Loader" [active, 142] 
org.apache.sling.jcr.davex (1.3.10) "Apache Sling JCR DavEx" [active, 80] 
org.apache.sling.jcr.jackrabbit.accessmanager (3.0.2) "Apache Sling Jackrabbit JSR-283 Access Control Manager Support" [active, 81] 
org.apache.sling.jcr.jackrabbit.usermanager (2.2.8) "Apache Sling Jackrabbit UserManager Support" [active, 82] 
